Origin,Destination,Interdictable
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
2,12,1
3,13,1
4,14,1
5,15,1
6,16,1
7,17,1
8,18,1
9,19,1
10,20,1
11,21,1
12,22,1
13,23,1
14,24,1
15,25,1
16,26,1
17,27,1
18,28,1
19,29,1
20,30,1
21,31,1
22,32,1
23,33,1
24,34,1
25,35,1
26,36,1
27,37,1
28,38,1
29,39,1
30,40,1
31,41,1
32,42,1
33,43,1
34,44,1
35,45,1
36,46,1
37,47,1
38,48,1
39,49,1
40,50,1
41,51,1
42,52,1
43,53,1
44,54,1
45,55,1
46,56,1
47,57,1
48,58,1
49,59,1
50,60,1
51,61,1
52,62,1
53,63,1
54,64,1
55,65,1
56,66,1
57,67,1
58,68,1
59,69,1
60,70,1
61,71,1
62,72,1
63,73,1
64,74,1
65,75,1
66,76,1
67,77,1
68,78,1
69,79,1
70,80,1
71,81,1
72,82,1
73,83,1
74,84,1
75,85,1
76,86,1
77,87,1
78,88,1
79,89,1
80,90,1
81,91,1
82,92,1
83,93,1
84,94,1
85,95,1
86,96,1
87,97,1
88,98,1
89,99,1
90,100,1
91,101,1
12,13,1
13,14,1
14,15,1
15,16,1
16,17,1
17,18,1
18,19,1
19,20,1
20,21,1
22,23,1
23,24,1
24,25,1
25,26,1
26,27,1
27,28,1
28,29,1
29,30,1
30,31,1
32,33,1
33,34,1
34,35,1
35,36,1
36,37,1
37,38,1
38,39,1
39,40,1
40,41,1
42,43,1
43,44,1
44,45,1
45,46,1
46,47,1
47,48,1
48,49,1
49,50,1
50,51,1
52,53,1
53,54,1
54,55,1
55,56,1
56,57,1
57,58,1
58,59,1
59,60,1
60,61,1
62,63,1
63,64,1
64,65,1
65,66,1
66,67,1
67,68,1
68,69,1
69,70,1
70,71,1
72,73,1
73,74,1
74,75,1
75,76,1
76,77,1
77,78,1
78,79,1
79,80,1
80,81,1
82,83,1
83,84,1
84,85,1
85,86,1
86,87,1
87,88,1
88,89,1
89,90,1
90,91,1
92,102,0
93,102,0
94,102,0
95,102,0
96,102,0
97,102,0
98,102,0
99,102,0
100,102,0
101,102,0
