Origin,Destination,Min_Capacity,Max_Capacity,Min_Cost,Max_Cost,Min_Prob,Max_Prob
1,2,30,60,3,5,0,0
1,3,30,60,3,5,0,0
1,4,30,60,3,5,0,0
1,5,30,60,3,5,0,0
2,6,30,60,3,5,0,1
3,7,30,60,3,5,0,1
4,8,30,60,3,5,0,1
5,9,30,60,3,5,0,1
6,10,30,60,3,5,0,1
7,11,30,60,3,5,0,1
8,12,30,60,3,5,0,1
9,13,30,60,3,5,0,1
10,14,30,60,3,5,0,1
11,15,30,60,3,5,0,1
12,16,30,60,3,5,0,1
13,17,30,60,3,5,0,1
14,18,30,60,3,5,0,1
15,19,30,60,3,5,0,1
16,20,30,60,3,5,0,1
17,21,30,60,3,5,0,1
6,7,30,60,3,5,0,1
7,8,30,60,3,5,0,1
8,9,30,60,3,5,0,1
10,11,30,60,3,5,0,1
11,12,30,60,3,5,0,1
12,13,30,60,3,5,0,1
14,15,30,60,3,5,0,1
15,16,30,60,3,5,0,1
16,17,30,60,3,5,0,1
18,500,30,60,3,5,0,0
19,500,30,60,3,5,0,0
20,500,30,60,3,5,0,0
21,500,30,60,3,5,0,0
