node,x_pos,y_pos,type
1,-1,3.5,source
2,0,7.0,intermediate
3,0,6.0,intermediate
4,0,5.0,intermediate
5,0,4.0,intermediate
6,0,3.0,intermediate
7,0,2.0,intermediate
8,0,1.0,intermediate
9,0,0.0,intermediate
10,1,7.0,intermediate
11,1,6.0,intermediate
12,1,5.0,intermediate
13,1,4.0,intermediate
14,1,3.0,intermediate
15,1,2.0,intermediate
16,1,1.0,intermediate
17,1,0.0,intermediate
18,2,7.0,intermediate
19,2,6.0,intermediate
20,2,5.0,intermediate
21,2,4.0,intermediate
22,2,3.0,intermediate
23,2,2.0,intermediate
24,2,1.0,intermediate
25,2,0.0,intermediate
26,3,7.0,intermediate
27,3,6.0,intermediate
28,3,5.0,intermediate
29,3,4.0,intermediate
30,3,3.0,intermediate
31,3,2.0,intermediate
32,3,1.0,intermediate
33,3,0.0,intermediate
34,4,7.0,intermediate
35,4,6.0,intermediate
36,4,5.0,intermediate
37,4,4.0,intermediate
38,4,3.0,intermediate
39,4,2.0,intermediate
40,4,1.0,intermediate
41,4,0.0,intermediate
42,5,7.0,intermediate
43,5,6.0,intermediate
44,5,5.0,intermediate
45,5,4.0,intermediate
46,5,3.0,intermediate
47,5,2.0,intermediate
48,5,1.0,intermediate
49,5,0.0,intermediate
50,6,7.0,intermediate
51,6,6.0,intermediate
52,6,5.0,intermediate
53,6,4.0,intermediate
54,6,3.0,intermediate
55,6,2.0,intermediate
56,6,1.0,intermediate
57,6,0.0,intermediate
58,7,7.0,intermediate
59,7,6.0,intermediate
60,7,5.0,intermediate
61,7,4.0,intermediate
62,7,3.0,intermediate
63,7,2.0,intermediate
64,7,1.0,intermediate
65,7,0.0,intermediate
66,8,3.5,sink
