Origin,Destination,Interdictable
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,9,0
2,8,1
3,8,1
3,10,1
4,10,1
5,47,1
5,51,1
6,16,1
7,23,1
8,11,1
8,13,1
9,54,1
10,11,1
10,12,1
10,47,1
10,51,1
10,52,1
11,14,1
12,14,1
12,15,1
13,14,1
13,17,1
14,18,1
15,19,1
15,53,1
15,56,1
16,52,1
16,53,1
16,54,1
17,22,1
17,55,1
17,58,1
18,20,1
18,55,1
18,56,1
19,54,1
19,57,1
19,59,1
20,21,1
20,57,1
20,58,1
21,22,1
21,26,1
21,58,1
22,27,1
22,29,1
23,24,1
23,60,1
24,25,1
24,59,1
25,26,1
25,32,1
25,37,1
25,60,1
26,27,1
26,32,1
26,59,1
27,28,1
27,35,1
27,63,1
28,29,1
28,30,1
29,30,1
30,31,1
31,42,1
31,43,1
32,34,1
32,37,1
33,37,1
33,50,1
33,60,1
33,61,1
34,35,1
34,36,1
35,41,1
35,63,1
36,38,1
36,39,1
37,38,1
38,39,1
38,62,1
39,64,1
40,41,1
40,43,1
40,44,1
40,45,1
40,46,1
40,66,1
40,67,1
41,63,1
41,67,1
42,250,0
43,250,0
44,250,0
45,250,0
46,250,0
46,67,1
47,51,1
48,250,0
48,67,1
48,68,1
48,69,1
49,62,1
49,69,1
49,250,0
50,61,1
50,250,0
51,52,1
53,54,1
55,58,1
56,57,1
61,62,1
64,65,1
64,69,1
65,66,1
65,68,1
66,67,1
67,68,1
68,69,1
