node,x_pos,y_pos,type
1,0.1,2.65,source
2,1.71,4.73,intermediate
3,1.71,4.32,intermediate
4,1.13,3.59,intermediate
5,0.69,2.65,intermediate
6,2.57,2.04,intermediate
7,4.04,-0.04,intermediate
8,2.15,4.63,intermediate
9,1.95,3.92,intermediate
10,1.71,3.6,intermediate
11,2.48,4.23,intermediate
12,2.13,3.62,intermediate
13,3.09,4.62,intermediate
14,2.86,4.04,intermediate
15,2.5,3.32,intermediate
16,2.52,2.45,intermediate
17,4.03,4.29,intermediate
18,3.93,3.63,intermediate
19,3.68,2.9,intermediate
20,4.17,3.3,intermediate
21,4.57,3.62,intermediate
22,4.95,3.98,intermediate
23,5.1,0.88,intermediate
24,5.28,1.57,intermediate
25,5.44,2.24,intermediate
26,5.62,2.95,intermediate
27,5.89,3.69,intermediate
28,5.88,4.06,intermediate
29,5.57,4.43,intermediate
30,5.98,4.48,intermediate
31,6.32,4.58,intermediate
32,5.92,2.63,intermediate
33,5.98,1.13,intermediate
34,6.31,2.59,intermediate
35,6.98,3.25,intermediate
36,6.86,2.52,intermediate
37,6.59,1.77,intermediate
38,7.27,2.05,intermediate
39,7.5,2.41,intermediate
40,7.84,2.85,intermediate
41,7.67,3.57,intermediate
42,5.52,4.88,intermediate
43,6.47,5.03,intermediate
44,6.97,4.33,intermediate
45,7.73,3.94,intermediate
46,8.58,3.44,intermediate
47,8.23,2.82,intermediate
48,7.88,2.25,intermediate
49,7.5,1.68,intermediate
50,6.32,0.86,intermediate
51,9,2.65,sink
